ORACLE_SP, INFORMATICA_FOLDER, INFORMATICA_WORKFLOW, ABAC_PROC_ID, ABAC_PROC_NM, ABAC_PROPERTY_NAMESPACE, ABAC_PROPERTY_NAME, ABAC_PROPERTY_VALUE
N/A, edw_atomic, w_usg_sess_p, 1740, edw_usg_sess_post_tods_072, Global, $$TABLE_OWNER_NAME, DWINT
N/A, edw_atomic, w_usg_sess_p, 1740, edw_usg_sess_post_tods_072, Global, $$TRG_TABLE, INT_USG_SESS_POST
N/A, edw_atomic, w_usg_sess_p, 1741, edw_usg_sess_post_tods_073, Global, $$INT_USG_SESS_TABLE_NAME, INT_USG_SESS_POST
N/A, edw_atomic, w_usg_sess_p, 1741, edw_usg_sess_post_tods_073, Global, $$SSCR_REF_CD_RES_OWNER, RES_OWNER
N/A, edw_atomic, w_usg_sess_p, 1741, edw_usg_sess_post_tods_073, Global, $$TABLE_OWNER_NAME, DWINT
N/A, edw_atomic, w_usg_sess_p, 1741, edw_usg_sess_post_tods_073, Global, $$TRG_TABLE, INT_USG_SESS_POST
N/A, edw_atomic, w_usg_sess_p, 1742, edw_usg_sess_post_tods_074, Global, $$INT_USG_SESS_TABLE_NAME, INT_USG_SESS_POST
N/A, edw_atomic, w_usg_sess_p, 1742, edw_usg_sess_post_tods_074, Global, $$SSCR_REF_CD_RES_OWNER, RES_OWNER
N/A, edw_atomic, w_usg_sess_p, 1742, edw_usg_sess_post_tods_074, Global, $$TABLE_OWNER_NAME, DWINT
N/A, edw_atomic, w_usg_sess_p, 1742, edw_usg_sess_post_tods_074, Global, $$TRG_TABLE, INT_USG_SESS_POST
N/A, edw_atomic, w_usg_sess_p, 1743, edw_usg_sess_post_tods_075, Global, $$INT_USG_SESS_TABLE_NAME, INT_USG_SESS_POST
N/A, edw_atomic, w_usg_sess_p, 1743, edw_usg_sess_post_tods_075, Global, $$SSCR_REF_CD_RES_OWNER, RES_OWNER
N/A, edw_atomic, w_usg_sess_p, 1743, edw_usg_sess_post_tods_075, Global, $$TABLE_OWNER_NAME, DWINT
N/A, edw_atomic, w_usg_sess_p, 1743, edw_usg_sess_post_tods_075, Global, $$TRG_TABLE, INT_USG_SESS_POST
N/A, edw_atomic, w_usg_sess_p, 1744, edw_usg_sess_post_tods_076, Global, $$INT_USG_SESS_TABLE_NAME, INT_USG_SESS_POST
N/A, edw_atomic, w_usg_sess_p, 1744, edw_usg_sess_post_tods_076, Global, $$SSCR_REF_CD_RES_OWNER, RES_OWNER
N/A, edw_atomic, w_usg_sess_p, 1744, edw_usg_sess_post_tods_076, Global, $$TABLE_OWNER_NAME, DWINT
N/A, edw_atomic, w_usg_sess_p, 1744, edw_usg_sess_post_tods_076, Global, $$TRG_TABLE, INT_USG_SESS_POST
N/A, edw_atomic, w_usg_sess_p, 1745, edw_usg_sess_post_tods_077, Global, $$INT_USG_SESS_TABLE_NAME, INT_USG_SESS_POST
N/A, edw_atomic, w_usg_sess_p, 1745, edw_usg_sess_post_tods_077, Global, $$SSCR_REF_CD_RES_OWNER, RES_OWNER
N/A, edw_atomic, w_usg_sess_p, 1745, edw_usg_sess_post_tods_077, Global, $$TABLE_OWNER_NAME, DWINT
N/A, edw_atomic, w_usg_sess_p, 1745, edw_usg_sess_post_tods_077, Global, $$TRG_TABLE, INT_USG_SESS_POST
N/A, edw_atomic, w_usg_sess_p, 1746, edw_usg_sess_post_tods_078, Global, $$INT_USG_SESS_TABLE_NAME, INT_USG_SESS_POST
N/A, edw_atomic, w_usg_sess_p, 1746, edw_usg_sess_post_tods_078, Global, $$SSCR_REF_CD_RES_OWNER, RES_OWNER
N/A, edw_atomic, w_usg_sess_p, 1746, edw_usg_sess_post_tods_078, Global, $$TABLE_OWNER_NAME, DWINT
N/A, edw_atomic, w_usg_sess_p, 1746, edw_usg_sess_post_tods_078, Global, $$TRG_TABLE, INT_USG_SESS_POST
N/A, edw_atomic, w_usg_sess_p, 1747, edw_usg_sess_post_tods_079, Global, $$INT_USG_SESS_TABLE_NAME, INT_USG_SESS_POST
N/A, edw_atomic, w_usg_sess_p, 1747, edw_usg_sess_post_tods_079, Global, $$SSCR_REF_CD_RES_OWNER, RES_OWNER
N/A, edw_atomic, w_usg_sess_p, 1747, edw_usg_sess_post_tods_079, Global, $$TABLE_OWNER_NAME, DWINT
N/A, edw_atomic, w_usg_sess_p, 1747, edw_usg_sess_post_tods_079, Global, $$TRG_TABLE, INT_USG_SESS_POST
